name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kaduwela,2012-06-16,30.7,27.6,29,37.6,31.6,34,24.5,76.9,0.068,100,8.33,rain,,,,24.1,231.7,1008.9,59.3,12.9,252.7,21.7,8,,2012-06-16T05:55:06,2012-06-16T18:26:31,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-06-17,30.6,27.8,28.8,36.6,31.9,33.5,24.5,77.9,0.094,100,16.67,rain,,,,22.3,236.5,1009.8,57.8,12.8,230.7,19.8,8,,2012-06-17T05:55:18,2012-06-17T18:26:45,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-06-18,29.9,27.1,28.2,35.9,29.7,32.4,24.2,78.7,4.644,100,20.83,rain,,,,25.9,241,1010.8,74.7,12.5,109.8,9.3,4,,2012-06-18T05:55:30,2012-06-18T18:26:59,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-06-19,30.6,24.8,28.1,35.7,24.8,31.4,23.7,77.4,4.568,100,20.83,rain,,,,22.3,231.9,1011,81.3,12.8,189,16.1,7,,2012-06-19T05:55:43,2012-06-19T18:27:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-06-20,30.2,27.1,28.3,36,29.7,32.3,23.9,77.3,0.044,100,8.33,rain,,,,25.9,228.2,1009.9,68.7,12.9,200.3,17.2,7,,2012-06-20T05:55:55,2012-06-20T18:27:26,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-06-21,29.8,25.2,27.9,35.6,25.2,31.4,24.2,80.8,1.573,100,12.5,rain,,,,27.7,227.1,1009.8,85.8,13.6,249.9,21.5,8,,2012-06-21T05:56:08,2012-06-21T18:27:39,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-06-22,30.9,25.5,27.6,37.8,25.5,30.7,24.3,83,3.587,100,8.33,rain,,,,24.1,240.7,1009.4,67.7,15.3,192.6,16.7,6,,2012-06-22T05:56:21,2012-06-22T18:27:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,43486099999,43441099999,remote,43466099999"
kaduwela,2012-06-23,30.4,25.1,28,36.6,25.1,31.5,24.2,80.3,4.988,100,16.67,rain,,,,25.9,223,1008.7,71.1,12.9,212.6,18.2,7,,2012-06-23T05:56:35,2012-06-23T18:28:04,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999,remote"
kaduwela,2012-06-24,30.8,25.1,28,37.2,25.1,31.9,24.5,81.5,4.449,100,20.83,rain,,,,25.9,222.2,1008.1,60.2,12.8,147.1,12.6,4,,2012-06-24T05:56:48,2012-06-24T18:28:16,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
kaduwela,2012-06-25,30.1,26.1,28,35.2,26.1,31.9,24.3,80.6,2.852,100,16.67,rain,,,,24.1,220.3,1009.5,67.9,12.7,179.4,15.5,7,,2012-06-25T05:57:02,2012-06-25T18:28:28,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43450099999,43467099999,43486099999,43441099999,43466099999"
