                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.853,                 5.4577,                 4.2178,                      0,                      0,                      0,                      0,                 3.8138,                 5.2683,                 4.1637,             0.00038341,             0.00038341,             0.00038341
                      2,                 3.0084,                 4.6296,                  3.811,                      0,                      0,                      0,                      0,                 3.9289,                 5.1084,                 4.2269,             0.00077961,             0.00077961,             0.00077961
                      3,                 2.5215,                 3.6214,                 3.0706,                      0,                      0,                      0,                      0,                 4.0351,                 5.0389,                 4.3397,              0.0011719,              0.0011719,              0.0011719
                      4,                 2.2136,                 3.0717,                 2.6619,                      0,                      0,                      0,                      0,                 3.7583,                 4.8136,                 4.1013,              0.0015601,              0.0015601,              0.0015601
                      5,                 2.1362,                 2.6143,                 2.4904,                0.95693,                0.11049,                0.35486,                0.12737,                 2.6411,                 4.0023,                 3.1381,               0.001634,               0.001634,               0.001634
                      6,                  1.904,                 2.1221,                 2.2281,                0.55381,                0.43446,                0.45942,                0.25866,                 1.7324,                 2.9094,                 2.4287,               0.001634,               0.001634,               0.001634
                      7,                 1.6608,                 1.7499,                  2.007,                0.90637,                0.80849,                0.88901,                0.54302,                 1.4292,                 1.6513,                 1.9917,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.5123,                 1.4134,                  1.861,                0.91305,                0.91442,                0.97824,                0.61766,                 1.4475,                 1.3299,                 1.9137,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.3897,                 1.2632,                 1.7367,                0.98923,                0.79941,                0.91455,                0.66318,                 1.1013,                  1.625,                 1.6803,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.3117,                 1.1173,                 1.6703,                0.97136,                0.94237,                0.97789,                0.66466,                 1.2392,                 1.1961,                 1.7604,               0.001601,               0.001601,               0.001601
                     11,                 1.3019,                 1.0574,                 1.6268,                0.99989,                0.96603,                0.98313,                0.67343,                 1.1825,                 1.0173,                 1.6567,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.2614,                 1.0412,                 1.6104,                0.97363,                0.96616,                0.99113,                0.73553,                0.97537,                 1.0056,                 1.5319,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.1719,                0.93571,                 1.5052,                0.99489,                0.98037,                 0.9948,                0.74636,                0.96067,                0.89123,                 1.4878,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.1484,                0.90122,                 1.5027,                0.99643,                0.97418,                 0.9948,                0.77814,                0.84787,                0.79296,                 1.3885,               0.001568,               0.001568,               0.001568
                     15,                 1.0903,                0.88979,                 1.4788,                0.98282,                0.99144,                0.99443,                0.73803,                0.95124,                0.94799,                 1.4726,              0.0015597,              0.0015597,              0.0015597
                     16,                 1.0417,                0.79562,                 1.3891,                0.98527,                  0.995,                0.99445,                0.76173,                0.89029,                0.69861,                 1.4097,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.0226,                0.74997,                 1.3971,                 0.9945,                0.98669,                0.99459,                0.75646,                0.89076,                0.78031,                 1.3971,              0.0015432,              0.0015432,              0.0015432
                     18,                 1.0855,                0.75408,                 1.3922,                0.99631,                0.97459,                0.99063,                0.78556,                0.81263,                0.74628,                 1.3478,               0.001535,               0.001535,               0.001535
